device,ip,app,os,channel,click_time,attributed_time,is_attributed
833,1,1,1,1,1,0,1
838,2,2,2,2,2,0,2
840,3,3,3,3,3,1,3
844,3,3,3,3,3,0,3
847,1,1,1,1,1,0,1
850,26,26,26,26,26,5,26
853,6,6,6,6,6,2,6
854,1,1,1,1,1,1,1
856,1,1,1,1,1,0,1
857,3,3,3,3,3,0,3
858,10,10,10,10,10,0,10
860,3,3,3,3,3,1,3
861,2,2,2,2,2,1,2
869,6,6,6,6,6,0,6
870,4,4,4,4,4,0,4
872,2,2,2,2,2,0,2
875,2,2,2,2,2,1,2
876,1,1,1,1,1,0,1
878,1,1,1,1,1,0,1
879,1,1,1,1,1,0,1
883,1,1,1,1,1,0,1
885,3,3,3,3,3,1,3
887,5,5,5,5,5,4,5
890,2,2,2,2,2,0,2
892,2,2,2,2,2,0,2
893,4,4,4,4,4,0,4
901,1,1,1,1,1,0,1
902,1,1,1,1,1,1,1
908,1,1,1,1,1,0,1
911,1,1,1,1,1,0,1
915,1,1,1,1,1,0,1
916,6,6,6,6,6,1,6
920,1,1,1,1,1,0,1
922,5,5,5,5,5,0,5
923,6,6,6,6,6,1,6
926,1,1,1,1,1,0,1
927,1,1,1,1,1,0,1
928,7,7,7,7,7,2,7
929,8,8,8,8,8,1,8
932,1,1,1,1,1,1,1
933,5,5,5,5,5,0,5
934,2,2,2,2,2,0,2
937,3,3,3,3,3,1,3
941,6,6,6,6,6,0,6
943,1,1,1,1,1,0,1
944,1,1,1,1,1,0,1
945,10,10,10,10,10,0,10
946,2,2,2,2,2,0,2
948,8,8,8,8,8,0,8
952,2,2,2,2,2,2,2
953,1,1,1,1,1,0,1
957,2,2,2,2,2,0,2
963,4,4,4,4,4,0,4
964,2,2,2,2,2,0,2
968,2,2,2,2,2,0,2
969,1,1,1,1,1,0,1
970,4,4,4,4,4,0,4
972,1,1,1,1,1,0,1
973,1,1,1,1,1,1,1
980,6,6,6,6,6,1,6
981,1,1,1,1,1,0,1
983,1,1,1,1,1,0,1
987,1,1,1,1,1,0,1
989,4,4,4,4,4,0,4
1000,1,1,1,1,1,0,1
1001,1,1,1,1,1,0,1
1002,3,3,3,3,3,0,3
1007,1,1,1,1,1,0,1
1009,2,2,2,2,2,0,2
1016,4,4,4,4,4,2,4
1017,1,1,1,1,1,0,1
1018,1,1,1,1,1,0,1
1020,1,1,1,1,1,0,1
1021,1,1,1,1,1,0,1
1023,4,4,4,4,4,0,4
1027,2,2,2,2,2,0,2
1028,3,3,3,3,3,1,3
1030,2,2,2,2,2,0,2
1031,7,7,7,7,7,1,7
1036,1,1,1,1,1,0,1
1037,1,1,1,1,1,0,1
1039,9,9,9,9,9,1,9
1042,16,16,16,16,16,2,16
1043,1,1,1,1,1,0,1
1044,2,2,2,2,2,0,2
1045,10,10,10,10,10,2,10
1052,1,1,1,1,1,0,1
1053,1,1,1,1,1,1,1
1055,2,2,2,2,2,0,2
1058,1,1,1,1,1,0,1
1059,1,1,1,1,1,0,1
1061,2,2,2,2,2,0,2
1062,3,3,3,3,3,0,3
1065,2,2,2,2,2,0,2
1066,2,2,2,2,2,1,2
1067,1,1,1,1,1,1,1
1069,1,1,1,1,1,0,1
1070,3,3,3,3,3,0,3
1072,3,3,3,3,3,1,3
1076,3,3,3,3,3,0,3
1078,12,12,12,12,12,0,12
1079,3,3,3,3,3,0,3
1080,7,7,7,7,7,1,7
1084,3,3,3,3,3,0,3
1085,1,1,1,1,1,0,1
1086,6,6,6,6,6,2,6
1087,1,1,1,1,1,0,1
1089,3,3,3,3,3,1,3
1090,1,1,1,1,1,0,1
1093,1,1,1,1,1,0,1
1095,4,4,4,4,4,0,4
1096,1,1,1,1,1,0,1
1097,3,3,3,3,3,0,3
1098,1,1,1,1,1,0,1
1100,1,1,1,1,1,1,1
1106,2,2,2,2,2,0,2
1107,2,2,2,2,2,1,2
1111,1,1,1,1,1,0,1
1114,1,1,1,1,1,0,1
1115,4,4,4,4,4,2,4
1116,1,1,1,1,1,1,1
1117,2,2,2,2,2,0,2
1118,1,1,1,1,1,0,1
1119,1,1,1,1,1,0,1
1120,3,3,3,3,3,0,3
1121,1,1,1,1,1,0,1
1123,3,3,3,3,3,1,3
1126,1,1,1,1,1,0,1
1128,4,4,4,4,4,2,4
1131,2,2,2,2,2,0,2
1135,1,1,1,1,1,0,1
1136,1,1,1,1,1,0,1
1139,1,1,1,1,1,0,1
1140,1,1,1,1,1,0,1
1142,3,3,3,3,3,0,3
1143,9,9,9,9,9,3,9
1144,1,1,1,1,1,0,1
1145,2,2,2,2,2,0,2
1147,4,4,4,4,4,0,4
1148,3,3,3,3,3,3,3
1150,1,1,1,1,1,0,1
1154,1,1,1,1,1,0,1
1161,1,1,1,1,1,1,1
1162,15,15,15,15,15,0,15
1163,1,1,1,1,1,0,1
1165,1,1,1,1,1,0,1
1168,6,6,6,6,6,1,6
1174,10,10,10,10,10,0,10
1175,4,4,4,4,4,1,4
1176,7,7,7,7,7,0,7
1182,2,2,2,2,2,0,2
1184,11,11,11,11,11,5,11
1191,1,1,1,1,1,0,1
1193,13,13,13,13,13,1,13
1195,1,1,1,1,1,0,1
1199,1,1,1,1,1,0,1
1200,1,1,1,1,1,0,1
1202,1,1,1,1,1,0,1
1208,2,2,2,2,2,0,2
1212,1,1,1,1,1,0,1
1213,1,1,1,1,1,0,1
1214,3,3,3,3,3,0,3
1215,2,2,2,2,2,0,2
1218,3,3,3,3,3,1,3
1219,2,2,2,2,2,1,2
1226,2,2,2,2,2,1,2
1228,1,1,1,1,1,0,1
1230,2,2,2,2,2,0,2
1231,1,1,1,1,1,0,1
1232,4,4,4,4,4,0,4
1236,1,1,1,1,1,0,1
1237,1,1,1,1,1,0,1
1241,1,1,1,1,1,0,1
1245,2,2,2,2,2,1,2
1249,1,1,1,1,1,1,1
1253,3,3,3,3,3,0,3
1254,1,1,1,1,1,0,1
1258,6,6,6,6,6,2,6
1259,7,7,7,7,7,1,7
1260,1,1,1,1,1,0,1
1261,3,3,3,3,3,0,3
1263,2,2,2,2,2,0,2
1267,1,1,1,1,1,0,1
1268,2,2,2,2,2,0,2
1269,4,4,4,4,4,0,4
1270,1,1,1,1,1,0,1
1279,3,3,3,3,3,0,3
1289,1,1,1,1,1,0,1
1291,2,2,2,2,2,0,2
1296,1,1,1,1,1,0,1
1297,3,3,3,3,3,0,3
1300,1,1,1,1,1,0,1
1303,2,2,2,2,2,1,2
1305,2,2,2,2,2,0,2
1306,4,4,4,4,4,1,4
1307,1,1,1,1,1,0,1
1309,1,1,1,1,1,1,1
1310,3,3,3,3,3,1,3
1311,1,1,1,1,1,0,1
1316,2,2,2,2,2,0,2
1321,3,3,3,3,3,0,3
1322,1,1,1,1,1,0,1
1329,1,1,1,1,1,0,1
1333,1,1,1,1,1,0,1
1336,4,4,4,4,4,1,4
1343,5,5,5,5,5,2,5
1345,8,8,8,8,8,0,8
1346,1,1,1,1,1,0,1
1351,2,2,2,2,2,1,2
1354,1,1,1,1,1,0,1
1361,1,1,1,1,1,0,1
1362,3,3,3,3,3,0,3
1363,1,1,1,1,1,0,1
1364,1,1,1,1,1,0,1
1366,2,2,2,2,2,0,2
1367,1,1,1,1,1,0,1
1374,2,2,2,2,2,0,2
1376,1,1,1,1,1,0,1
1379,1,1,1,1,1,0,1
1384,1,1,1,1,1,0,1
1387,1,1,1,1,1,0,1
1398,2,2,2,2,2,0,2
1399,4,4,4,4,4,0,4
1401,2,2,2,2,2,0,2
1404,5,5,5,5,5,1,5
1405,1,1,1,1,1,0,1
1407,2,2,2,2,2,0,2
1408,5,5,5,5,5,1,5
1409,1,1,1,1,1,0,1
1410,1,1,1,1,1,0,1
1411,1,1,1,1,1,1,1
1412,1,1,1,1,1,0,1
1417,2,2,2,2,2,0,2
1418,1,1,1,1,1,0,1
1419,2,2,2,2,2,1,2
1423,3,3,3,3,3,0,3
1424,1,1,1,1,1,0,1
1428,1,1,1,1,1,0,1
1429,2,2,2,2,2,1,2
1431,1,1,1,1,1,0,1
1434,1,1,1,1,1,1,1
1435,2,2,2,2,2,0,2
1436,7,7,7,7,7,0,7
1445,1,1,1,1,1,0,1
1446,1,1,1,1,1,0,1
1450,1,1,1,1,1,1,1
1456,1,1,1,1,1,0,1
1458,1,1,1,1,1,0,1
1461,2,2,2,2,2,0,2
1464,1,1,1,1,1,0,1
1465,2,2,2,2,2,0,2
1469,1,1,1,1,1,1,1
1474,9,9,9,9,9,2,9
1477,10,10,10,10,10,0,10
1480,2,2,2,2,2,0,2
1483,1,1,1,1,1,1,1
1485,4,4,4,4,4,0,4
1487,1,1,1,1,1,1,1
1491,1,1,1,1,1,0,1
1495,1,1,1,1,1,0,1
1501,2,2,2,2,2,0,2
1508,2,2,2,2,2,1,2
1510,1,1,1,1,1,0,1
1511,4,4,4,4,4,0,4
1521,1,1,1,1,1,0,1
1522,1,1,1,1,1,0,1
1525,2,2,2,2,2,0,2
1528,1,1,1,1,1,0,1
1529,2,2,2,2,2,0,2
1534,2,2,2,2,2,0,2
1537,1,1,1,1,1,0,1
1538,1,1,1,1,1,1,1
1540,1,1,1,1,1,0,1
1546,2,2,2,2,2,0,2
1552,3,3,3,3,3,0,3
1554,1,1,1,1,1,0,1
1558,1,1,1,1,1,0,1
1562,1,1,1,1,1,0,1
1564,2,2,2,2,2,0,2
1565,6,6,6,6,6,1,6
1575,1,1,1,1,1,0,1
1578,1,1,1,1,1,1,1
1580,3,3,3,3,3,0,3
1581,1,1,1,1,1,0,1
1586,3,3,3,3,3,0,3
1591,6,6,6,6,6,0,6
1593,3,3,3,3,3,0,3
1595,3,3,3,3,3,0,3
1599,1,1,1,1,1,0,1
1618,2,2,2,2,2,1,2
1619,3,3,3,3,3,0,3
1620,1,1,1,1,1,0,1
1621,1,1,1,1,1,0,1
1627,2,2,2,2,2,0,2
1630,1,1,1,1,1,0,1
1632,1,1,1,1,1,0,1
1638,2,2,2,2,2,0,2
1640,2,2,2,2,2,0,2
1641,1,1,1,1,1,0,1
1649,1,1,1,1,1,0,1
1651,1,1,1,1,1,1,1
1665,1,1,1,1,1,0,1
1668,3,3,3,3,3,0,3
1672,1,1,1,1,1,0,1
1675,2,2,2,2,2,0,2
1676,1,1,1,1,1,0,1
1678,2,2,2,2,2,0,2
1679,1,1,1,1,1,0,1
1681,1,1,1,1,1,0,1
1684,1,1,1,1,1,0,1
1690,1,1,1,1,1,0,1
1693,2,2,2,2,2,0,2
1694,2,2,2,2,2,1,2
1698,1,1,1,1,1,0,1
1704,1,1,1,1,1,0,1
1711,1,1,1,1,1,0,1
1712,1,1,1,1,1,1,1
1714,2,2,2,2,2,0,2
1718,4,4,4,4,4,1,4
1723,1,1,1,1,1,0,1
1726,1,1,1,1,1,0,1
1728,18,18,18,18,18,0,18
1730,2,2,2,2,2,0,2
1734,1,1,1,1,1,0,1
1735,1,1,1,1,1,0,1
1745,4,4,4,4,4,1,4
1750,1,1,1,1,1,0,1
1756,3,3,3,3,3,0,3
1763,1,1,1,1,1,0,1
1772,1,1,1,1,1,1,1
1773,1,1,1,1,1,0,1
1774,1,1,1,1,1,0,1
1775,2,2,2,2,2,1,2
1776,1,1,1,1,1,1,1
1779,1,1,1,1,1,0,1
1784,2,2,2,2,2,1,2
1785,2,2,2,2,2,0,2
1787,2,2,2,2,2,0,2
1795,3,3,3,3,3,0,3
1798,1,1,1,1,1,0,1
1799,2,2,2,2,2,0,2
1803,6,6,6,6,6,0,6
1807,1,1,1,1,1,0,1
1808,1,1,1,1,1,1,1
1811,1,1,1,1,1,0,1
1812,1,1,1,1,1,0,1
1818,2,2,2,2,2,0,2
1820,1,1,1,1,1,0,1
1822,1,1,1,1,1,0,1
1826,1,1,1,1,1,1,1
1828,1,1,1,1,1,0,1
1829,1,1,1,1,1,0,1
1830,1,1,1,1,1,0,1
1837,1,1,1,1,1,0,1
1839,4,4,4,4,4,0,4
1843,1,1,1,1,1,0,1
1844,1,1,1,1,1,1,1
1852,2,2,2,2,2,1,2
1855,1,1,1,1,1,0,1
1856,3,3,3,3,3,0,3
1857,1,1,1,1,1,0,1
1864,1,1,1,1,1,1,1
1867,1,1,1,1,1,0,1
1869,1,1,1,1,1,0,1
1872,1,1,1,1,1,0,1
1873,3,3,3,3,3,0,3
1874,1,1,1,1,1,0,1
1876,1,1,1,1,1,0,1
1877,1,1,1,1,1,1,1
1881,2,2,2,2,2,1,2
1883,3,3,3,3,3,1,3
1884,1,1,1,1,1,0,1
1887,2,2,2,2,2,0,2
1890,1,1,1,1,1,0,1
1894,2,2,2,2,2,0,2
1897,1,1,1,1,1,1,1
1899,1,1,1,1,1,0,1
1902,1,1,1,1,1,0,1
1905,2,2,2,2,2,0,2
1913,1,1,1,1,1,0,1
1915,1,1,1,1,1,0,1
1921,1,1,1,1,1,0,1
1922,1,1,1,1,1,0,1
1923,1,1,1,1,1,0,1
1933,1,1,1,1,1,0,1
1941,1,1,1,1,1,0,1
1948,1,1,1,1,1,0,1
1950,2,2,2,2,2,0,2
1960,2,2,2,2,2,1,2
1961,1,1,1,1,1,0,1
1980,1,1,1,1,1,0,1
1985,1,1,1,1,1,0,1
2013,1,1,1,1,1,0,1
2032,1,1,1,1,1,0,1
2049,1,1,1,1,1,0,1
2050,1,1,1,1,1,0,1
2078,1,1,1,1,1,0,1
2080,1,1,1,1,1,0,1
2081,2,2,2,2,2,0,2
2088,1,1,1,1,1,1,1
2089,1,1,1,1,1,0,1
2091,1,1,1,1,1,1,1
2095,1,1,1,1,1,0,1
2112,1,1,1,1,1,1,1
2117,1,1,1,1,1,0,1
2118,1,1,1,1,1,0,1
2124,1,1,1,1,1,0,1
2125,1,1,1,1,1,0,1
2141,1,1,1,1,1,0,1
2144,1,1,1,1,1,0,1
2171,1,1,1,1,1,0,1
2173,1,1,1,1,1,0,1
2206,2,2,2,2,2,0,2
2217,3,3,3,3,3,0,3
2225,1,1,1,1,1,0,1
2231,1,1,1,1,1,0,1
2234,1,1,1,1,1,0,1
2242,2,2,2,2,2,0,2
2255,3,3,3,3,3,0,3
2274,1,1,1,1,1,0,1
2289,1,1,1,1,1,0,1
2292,2,2,2,2,2,0,2
2293,1,1,1,1,1,0,1
2295,1,1,1,1,1,0,1
2305,3,3,3,3,3,0,3
2308,1,1,1,1,1,0,1
2314,1,1,1,1,1,1,1
2319,1,1,1,1,1,0,1
2320,2,2,2,2,2,0,2
2323,1,1,1,1,1,1,1
2343,1,1,1,1,1,0,1
2348,1,1,1,1,1,0,1
2349,1,1,1,1,1,0,1
2351,1,1,1,1,1,0,1
2352,1,1,1,1,1,0,1
2356,1,1,1,1,1,0,1
2389,2,2,2,2,2,0,2
2394,1,1,1,1,1,0,1
2399,2,2,2,2,2,1,2
2411,1,1,1,1,1,0,1
2412,1,1,1,1,1,1,1
2413,1,1,1,1,1,1,1
2421,1,1,1,1,1,0,1
2427,2,2,2,2,2,1,2
2429,4,4,4,4,4,1,4
2432,3,3,3,3,3,0,3
2443,1,1,1,1,1,0,1
2446,1,1,1,1,1,0,1
2449,1,1,1,1,1,0,1
2456,1,1,1,1,1,0,1
2458,1,1,1,1,1,0,1
2466,1,1,1,1,1,0,1
2475,2,2,2,2,2,1,2
2495,1,1,1,1,1,0,1
2500,1,1,1,1,1,1,1
2502,1,1,1,1,1,0,1
2504,2,2,2,2,2,0,2
2506,2,2,2,2,2,1,2
2510,1,1,1,1,1,0,1
2514,3,3,3,3,3,0,3
2520,1,1,1,1,1,0,1
2521,1,1,1,1,1,0,1
2551,1,1,1,1,1,0,1
2558,1,1,1,1,1,0,1
2562,1,1,1,1,1,0,1
2576,1,1,1,1,1,0,1
2583,2,2,2,2,2,0,2
2610,2,2,2,2,2,1,2
2614,3,3,3,3,3,0,3
2633,1,1,1,1,1,0,1
2666,1,1,1,1,1,1,1
2683,1,1,1,1,1,0,1
2694,1,1,1,1,1,1,1
2696,1,1,1,1,1,0,1
2700,1,1,1,1,1,0,1
2711,1,1,1,1,1,0,1
2750,1,1,1,1,1,0,1
2761,1,1,1,1,1,0,1
2766,1,1,1,1,1,0,1
2769,1,1,1,1,1,0,1
2774,1,1,1,1,1,0,1
2788,1,1,1,1,1,1,1
2801,1,1,1,1,1,0,1
2807,1,1,1,1,1,0,1
2818,1,1,1,1,1,0,1
2836,1,1,1,1,1,0,1
2849,1,1,1,1,1,0,1
2865,1,1,1,1,1,1,1
2870,1,1,1,1,1,0,1
2897,1,1,1,1,1,1,1
2900,1,1,1,1,1,0,1
2917,1,1,1,1,1,0,1
2922,1,1,1,1,1,0,1
2933,1,1,1,1,1,0,1
2934,1,1,1,1,1,0,1
2942,1,1,1,1,1,0,1
2960,1,1,1,1,1,0,1
2963,1,1,1,1,1,0,1
2972,1,1,1,1,1,0,1
2974,1,1,1,1,1,0,1
2977,2,2,2,2,2,0,2
2979,1,1,1,1,1,0,1
2981,1,1,1,1,1,0,1
2982,1,1,1,1,1,0,1
2994,1,1,1,1,1,0,1
2999,1,1,1,1,1,0,1
3002,1,1,1,1,1,0,1
3030,1,1,1,1,1,1,1
3032,37462,37462,37462,37462,37462,1,37462
3033,65,65,65,65,65,13,65
3039,1,1,1,1,1,0,1
3044,1,1,1,1,1,0,1
3049,1,1,1,1,1,0,1
3050,3,3,3,3,3,0,3
3054,2,2,2,2,2,0,2
3074,1,1,1,1,1,0,1
3075,1,1,1,1,1,0,1
3077,1,1,1,1,1,0,1
3086,1,1,1,1,1,0,1
3091,1,1,1,1,1,1,1
3100,1,1,1,1,1,1,1
3103,1,1,1,1,1,0,1
3105,1,1,1,1,1,0,1
3110,1,1,1,1,1,0,1
3117,1,1,1,1,1,1,1
3118,1,1,1,1,1,0,1
3123,2,2,2,2,2,0,2
3126,1,1,1,1,1,1,1
3132,1,1,1,1,1,1,1
3133,1,1,1,1,1,1,1
3140,1,1,1,1,1,0,1
3147,1,1,1,1,1,0,1
3148,1,1,1,1,1,0,1
3151,1,1,1,1,1,0,1
3153,1,1,1,1,1,0,1
3156,1,1,1,1,1,0,1
3157,1,1,1,1,1,0,1
3158,1,1,1,1,1,0,1
3159,1,1,1,1,1,1,1
3160,2,2,2,2,2,1,2
3164,3,3,3,3,3,1,3
3168,1,1,1,1,1,0,1
3171,1,1,1,1,1,0,1
3175,1,1,1,1,1,0,1
3183,1,1,1,1,1,0,1
3188,1,1,1,1,1,0,1
3189,1,1,1,1,1,0,1
3203,1,1,1,1,1,0,1
3213,1,1,1,1,1,0,1
3224,1,1,1,1,1,0,1
3228,1,1,1,1,1,0,1
3236,1,1,1,1,1,1,1
3237,1,1,1,1,1,1,1
3242,1,1,1,1,1,0,1
3260,1,1,1,1,1,0,1
3271,1,1,1,1,1,0,1
3280,1,1,1,1,1,0,1
3283,1,1,1,1,1,1,1
3287,1,1,1,1,1,1,1
3293,1,1,1,1,1,0,1
3298,1,1,1,1,1,0,1
3317,1,1,1,1,1,0,1
3324,1,1,1,1,1,1,1
3328,1,1,1,1,1,0,1
3329,1,1,1,1,1,0,1
3330,1,1,1,1,1,0,1
3347,1,1,1,1,1,1,1
3349,1,1,1,1,1,1,1
3356,1,1,1,1,1,0,1
3365,1,1,1,1,1,0,1
3372,1,1,1,1,1,0,1
3385,1,1,1,1,1,1,1
3387,1,1,1,1,1,0,1
3396,1,1,1,1,1,1,1
3397,1,1,1,1,1,1,1
3402,1,1,1,1,1,1,1
3427,1,1,1,1,1,0,1
3431,1,1,1,1,1,0,1
3434,1,1,1,1,1,0,1
3436,1,1,1,1,1,0,1
3437,1,1,1,1,1,0,1
3441,1,1,1,1,1,0,1
3445,1,1,1,1,1,0,1
3457,1,1,1,1,1,0,1
3481,1,1,1,1,1,0,1
3487,2,2,2,2,2,1,2
3491,1,1,1,1,1,0,1
3496,1,1,1,1,1,0,1
3537,1,1,1,1,1,0,1
3542,1,1,1,1,1,0,1
3543,14512,14512,14512,14512,14512,0,14512
3545,53,53,53,53,53,11,53
3550,1,1,1,1,1,0,1
3561,1,1,1,1,1,0,1
3570,1,1,1,1,1,0,1
3572,1,1,1,1,1,0,1
3573,1,1,1,1,1,0,1
3581,1,1,1,1,1,0,1
3591,1,1,1,1,1,1,1
3597,1,1,1,1,1,0,1
3618,1,1,1,1,1,0,1
3619,1,1,1,1,1,0,1
3624,1,1,1,1,1,0,1
3627,1,1,1,1,1,0,1
3628,1,1,1,1,1,0,1
3632,1,1,1,1,1,0,1
3634,2,2,2,2,2,0,2
3645,1,1,1,1,1,0,1
3651,1,1,1,1,1,0,1
3652,1,1,1,1,1,1,1
3666,1,1,1,1,1,0,1
3674,2,2,2,2,2,0,2
3683,1,1,1,1,1,0,1
3684,1,1,1,1,1,0,1
3711,1,1,1,1,1,0,1
3717,1,1,1,1,1,0,1
3724,1,1,1,1,1,0,1
3725,1,1,1,1,1,0,1
3727,1,1,1,1,1,0,1
3728,1,1,1,1,1,0,1
3732,1,1,1,1,1,0,1
3739,1,1,1,1,1,1,1
3750,1,1,1,1,1,0,1
3753,1,1,1,1,1,0,1
3762,1,1,1,1,1,0,1
3764,1,1,1,1,1,1,1
3770,1,1,1,1,1,1,1
3787,1,1,1,1,1,0,1
3794,1,1,1,1,1,0,1
3795,1,1,1,1,1,0,1
3810,2,2,2,2,2,0,2
3820,2,2,2,2,2,0,2
3832,1,1,1,1,1,0,1
3834,1,1,1,1,1,0,1
3854,1,1,1,1,1,1,1
3863,1,1,1,1,1,0,1
3866,9712,9712,9712,9712,9712,0,9712
3867,81,81,81,81,81,14,81
3884,1,1,1,1,1,1,1
3905,1,1,1,1,1,0,1
3914,1,1,1,1,1,0,1
3917,1,1,1,1,1,0,1
3918,1,1,1,1,1,0,1
3928,1,1,1,1,1,0,1
3940,2,2,2,2,2,0,2
3992,1,1,1,1,1,0,1
4008,1,1,1,1,1,0,1
4021,1,1,1,1,1,0,1
4026,2,2,2,2,2,1,2
4035,1,1,1,1,1,0,1
4049,1,1,1,1,1,0,1
4060,1,1,1,1,1,0,1
4083,1,1,1,1,1,0,1
4085,1,1,1,1,1,0,1
4092,1,1,1,1,1,0,1
4115,3,3,3,3,3,0,3
4121,1,1,1,1,1,0,1
4124,1,1,1,1,1,0,1
4125,1,1,1,1,1,0,1
4130,1,1,1,1,1,1,1
4158,1,1,1,1,1,0,1
4164,1,1,1,1,1,0,1
4173,1,1,1,1,1,1,1
4196,1,1,1,1,1,0,1
4199,1,1,1,1,1,0,1
4208,1,1,1,1,1,0,1
4216,1,1,1,1,1,0,1
4222,1,1,1,1,1,0,1
